Id,Role,Year,Description,URL
100,program committee member,2019,Second Workshop on Multilingual Surface Realization,http://taln.upf.edu/pages/msr2019-ws/
99,organizer,2019,3rd Workshop on Natural Language for Artificial Intelligence (NL4AI),http://sag.art.uniroma2.it/NL4AI/
98,program committee member,2019,The 35th ACM/SIGAPP Symposium On Applied Computing,https://www.sigapp.org/sac/sac2020/
97,program committee member,2019,The Thirty-Fourth AAAI Conference on Artificial Intelligence,https://aaai.org/Conferences/AAAI-20
96,reviewer,2019,IEEE Transactions on Affective Computing,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5165369
95,reviewer,2019,ACM Transactions on Internet Technology (TOIT),https://toit.acm.org/
94,reviewer,2019,Applied Ontology,https://www.iospress.nl/journal/applied-ontology/
93,reviewer,2019,Applied Sciences,https://www.mdpi.com/journal/applsci
92,reviewer,2019,South African Journal of Science,https://www.sajs.co.za/
91,steering committee member,2020,International Workshop on Semantic Evaluation (SemEval 2020),http://alt.qcri.org/semeval2020/
90,program committee member,2019,International Semantic Web Conference (ISWC 2019),https://iswc2019.semanticweb.org/
89,chair,2019,2nd Workshop on Contextual Representation of Events and Objects in Language (CREOL@JOWO 2019),https://creol2019.di.unito.it/
88,program committee member,2019,International Joint Conference on Artificial Intelligence (IJCAI 2019),https://ijcai19.org/
87,mentor,2019,ACL 2019 Student Research Workshop,https://sites.google.com/view/acl19studentresearchworkshop/home?authuser=0
86,program committee member,2019,The Eighth Joint Conference on Lexical and Computational Semantics (*SEM 2019),https://starsem.org/2019/
85,reviewer,2019,International Journal on Artificial Intelligence Tools,https://www.worldscientific.com/worldscinet/ijait
84,chair,2019,SemEval 2019 Task 5 - Shared Task on Multilingual Detection of Hate,https://competitions.codalab.org/competitions/19935
83,reviewer,2019,Transactions on Social Computing,https://tsc.acm.org/
82,program committee member,2019,57th Annual Meeting of the Association for Computational Linguistics (ACL 2019),http://www.acl2019.org/EN/index.xhtml
81,program committee member,2019,"2nd Conference on Language, Data and Knowledge (LDK 2019)",http://2019.ldk-conf.org/
80,reviewer,2019,Journal of Experimental & Theoretical Artificial Intelligence,https://www.tandfonline.com/toc/teta20/current
79,program committee member,2019,Annual Conference of the North American Chapter of the Association for Computational Linguistics (NAACL-HTL 2019),https://naacl2019.org/
78,program committee member,2019,Extended Semantic Web Conference (ESWC 2019),https://2019.eswc-conferences.org
