time,CDA,CU,D66,DPK,GL,PVDA,PVDD,PVV,SGP,SP,VVD
1382535381,0,6,0,0,384,0,0,406,453,0,718
1382535409,0,8,0,0,385,0,0,406,453,0,718
1382535449,0,9,0,0,387,0,0,407,453,0,721
1382535454,0,9,0,0,387,0,0,407,453,0,721
1382535582,0,12,0,0,391,0,0,394,449,0,724
1382535633,0,12,0,0,393,0,0,396,449,0,727
1382535718,0,14,0,0,395,0,0,397,449,0,728
1382536040,0,27,0,0,403,0,0,401,449,0,740
1382536433,0,35,0,0,415,0,0,408,449,0,753
1382536444,0,36,0,0,415,0,0,408,449,0,753
1382536464,0,37,0,0,416,0,0,408,449,0,754
1382536465,0,37,0,0,416,0,0,408,449,0,755
1382536698,0,43,0,0,421,0,0,413,449,0,762
1382536718,0,43,0,0,422,0,0,413,449,0,762
1382536779,0,45,0,0,423,0,0,414,449,0,765
1382536780,0,45,0,0,423,0,0,415,449,0,766
1382536782,0,46,0,0,424,0,0,415,449,0,766
1382537167,0,67,0,0,445,0,0,425,449,0,785
1382537172,0,67,0,0,445,0,0,425,449,0,785
1382537309,0,68,0,0,449,0,0,429,449,0,791
1382537364,0,70,0,0,450,0,0,429,449,0,792
1382537518,0,82,0,0,456,0,0,432,449,0,796
1382537667,0,87,0,0,456,0,0,437,449,0,804
1382537891,0,98,0,0,456,0,0,444,449,0,808
1382537918,0,98,0,0,456,0,0,445,449,0,808
1382537928,0,98,0,0,456,0,0,445,449,0,808
1382537931,0,98,0,0,456,0,0,445,449,0,809
1382537933,0,98,0,0,456,0,0,445,449,0,809
1382537937,0,98,0,0,456,0,0,445,449,0,809
1382537964,0,99,0,0,456,0,0,445,449,0,810
1382537968,0,99,0,0,456,0,0,446,449,0,810
1382537972,0,100,0,0,456,0,0,446,449,0,810
1382537974,0,100,0,0,456,0,0,446,449,0,810
1382538255,0,103,0,0,457,0,0,448,449,0,816
1382538268,0,103,0,0,458,0,0,449,449,0,816
1382538704,0,119,0,0,467,0,0,453,449,0,828
1382538704,0,119,0,0,467,0,0,453,449,0,828
1382539178,0,142,0,0,474,0,0,464,449,0,852
1382539240,0,145,0,0,474,0,0,466,449,0,858
1382539481,0,149,0,0,474,0,0,470,449,0,870
1382539546,0,153,0,0,474,0,0,472,449,0,873
1382540054,0,177,0,0,495,0,0,481,449,0,902
1382540130,0,180,0,0,497,0,0,482,449,0,906
1382540228,0,184,0,0,497,0,0,484,449,0,909
1382540284,0,185,0,0,498,0,0,485,449,0,910
1382540565,0,189,0,0,507,0,0,490,449,0,914
1382540584,0,189,0,0,507,0,0,490,449,0,915
1382540584,0,189,0,0,507,0,0,490,449,0,915
1382540587,0,189,0,0,507,0,0,490,449,0,915
1382540599,0,189,0,0,507,0,0,490,449,0,915
1382540657,0,191,0,0,510,0,0,493,449,0,916
1382541262,0,212,0,0,536,0,0,511,449,0,934
1382541436,0,217,0,0,539,0,0,516,449,0,935
1382541462,0,217,0,0,539,0,0,516,449,0,937
1382541567,0,218,0,0,543,0,0,518,449,0,938
1382541587,0,219,0,0,543,0,0,518,449,0,938
1382541589,0,219,0,0,543,0,0,518,449,0,938
1382541591,0,219,0,0,543,0,0,518,449,0,938
1382541593,0,220,0,0,543,0,0,518,449,0,938
1382541907,0,230,0,0,555,0,0,527,449,0,950
1382542105,0,239,0,0,561,0,0,530,449,0,960
1382542169,0,240,0,0,563,0,0,531,449,0,960
1382542171,0,240,0,0,563,0,0,531,449,0,960
1382542297,0,240,0,0,564,0,0,531,449,0,960
1382542649,0,246,0,0,567,0,0,536,449,0,960
1382542660,0,247,0,0,568,0,0,536,449,0,960
1382542974,0,258,0,0,577,0,0,541,449,0,960
1382543390,0,271,0,0,598,0,0,551,449,0,960
1382543393,0,271,0,0,598,0,0,551,449,0,960
1382543841,0,286,0,0,614,0,0,564,449,0,960
1382543855,0,286,0,0,615,0,0,564,449,0,960
1382543879,0,286,0,0,615,0,0,565,449,0,960
1382543988,0,286,0,0,615,0,0,565,449,0,960
1382598324,0,286,0,0,615,0,0,565,449,0,960
1382598505,0,288,0,0,617,0,0,565,449,0,970
1382598716,0,294,0,0,623,0,0,567,449,0,996
1382598926,0,297,0,0,627,0,0,572,449,0,1018
1382599189,0,306,0,0,633,0,0,581,449,0,1041
1382599691,0,318,0,0,641,0,0,593,449,0,1054
1382599699,0,318,0,0,641,0,0,594,449,0,1054
1382599780,0,321,0,0,645,0,0,596,449,0,1058
1382605879,0,321,0,0,645,0,0,597,449,0,1058
1382606086,0,328,0,0,649,0,0,602,449,0,1062
1382606142,0,328,0,0,649,0,0,603,449,0,1064
1382606142,0,328,0,0,649,0,0,603,449,0,1064
1382606148,0,328,0,0,649,0,0,603,449,0,1065
1382606150,0,328,0,0,649,0,0,603,449,0,1065
1382606180,0,329,0,0,649,0,0,604,449,0,1066
1382606227,0,331,0,0,649,0,0,604,449,0,1066
1382606237,0,332,0,0,649,0,0,605,449,0,1067
1382607736,0,333,0,0,649,0,0,605,449,0,1067
1382608043,0,333,0,0,649,0,0,605,449,0,1067
1382619470,0,333,0,0,649,0,0,605,449,0,1067
1382621728,0,343,0,0,653,0,0,605,449,0,1074
1382621731,0,343,0,0,653,0,0,605,449,0,1075
1382621733,0,343,0,0,653,0,0,605,449,0,1075
1382621736,0,343,0,0,654,0,0,605,449,0,1075
1382621740,0,343,0,0,654,0,0,605,449,0,1075
1382621742,0,343,0,0,654,0,0,605,449,0,1075
1382621752,0,343,0,0,654,0,0,605,449,0,1075
1382621756,0,343,0,0,654,0,0,605,449,0,1075
1382621767,0,343,0,0,654,0,0,605,449,0,1076
1382621771,0,344,0,0,654,0,0,605,449,0,1076
1382621773,0,344,0,0,654,0,0,605,449,0,1076
1382622315,0,349,0,0,667,0,0,605,449,0,1092
1382622486,0,352,0,0,671,0,0,605,449,0,1097
1382622492,0,352,0,0,671,0,0,605,449,0,1097
1382622495,0,352,0,0,671,0,0,605,449,0,1097
1382622499,0,352,0,0,671,0,0,605,449,0,1097
1382622502,0,352,0,0,671,0,0,605,449,0,1098
1382622504,0,353,0,0,671,0,0,605,449,0,1098
1382622507,0,353,0,0,671,0,0,605,449,0,1098
1382622509,0,353,0,0,671,0,0,605,449,0,1098
1382622512,0,353,0,0,670,0,0,605,449,0,1098
1382624311,0,369,0,0,682,0,0,605,449,0,1108
1382624603,0,376,0,0,688,0,0,605,449,0,1110
1382625711,0,393,0,0,708,0,0,610,449,0,1132
1382626200,0,396,0,0,716,0,0,615,449,0,1136
1382626315,0,400,0,0,722,0,0,619,449,0,1143
1382626920,0,407,0,0,725,0,0,630,449,0,1151
1382627314,0,416,0,0,732,0,0,643,449,0,1161
1382627422,0,416,0,0,732,0,0,644,449,0,1161
1382627915,0,428,0,0,732,0,0,647,449,0,1169
1382628387,0,439,0,0,740,0,0,657,449,0,1175
1382628394,0,439,0,0,740,0,0,657,449,0,1175
1382628398,0,439,0,0,740,0,0,657,449,0,1175
1382628420,0,439,0,0,741,0,0,658,449,0,1175
1382684388,0,439,0,0,741,0,0,661,449,0,1175
1382699893,0,450,0,0,759,0,0,675,449,0,1191
1382700004,0,450,0,0,766,0,0,676,449,0,1200
1382700009,0,451,0,0,767,0,0,676,449,0,1200
1382700011,0,451,0,0,767,0,0,676,449,0,1200
1382700015,0,451,0,0,767,0,0,676,449,0,1201
1382700017,0,451,0,0,767,0,0,676,449,0,1201
1382700039,0,452,0,0,768,0,0,676,449,0,1202
1382700039,0,452,0,0,768,0,0,676,449,0,1202
1382700063,0,452,0,0,770,0,0,676,449,0,1203
1382700066,0,452,0,0,770,0,0,676,449,0,1203
1382700069,0,452,0,0,770,0,0,676,449,0,1203
1382700125,0,453,0,0,771,0,0,680,449,0,1204
1382700126,0,453,0,0,771,0,0,680,449,0,1204
1382700128,0,453,0,0,771,0,0,680,449,0,1204
1382700131,0,453,0,0,771,0,0,680,449,0,1204
1382700503,0,457,0,0,776,0,0,688,449,0,1214
1382700758,0,467,0,0,785,0,0,694,449,0,1233
1382700760,0,467,0,0,785,0,0,694,449,0,1233
1382700763,0,467,0,0,785,0,0,694,449,0,1233
1382700768,0,468,0,0,785,0,0,694,449,0,1234
1382700770,0,468,0,0,785,0,0,694,449,0,1234
1382700785,0,469,0,0,786,0,0,694,449,0,1235
1382700790,0,469,0,0,786,0,0,694,449,0,1236
1382700794,0,469,0,0,787,0,0,694,449,0,1236
1382700814,0,469,0,0,788,0,0,694,449,0,1236
1382701162,0,478,0,0,797,0,0,704,449,0,1246
1382701168,0,478,0,0,797,0,0,704,449,0,1246
1382701192,0,479,0,0,797,0,0,705,449,0,1247
1382701204,0,480,0,0,798,0,0,705,449,0,1247
1382701229,0,482,0,0,799,0,0,706,449,0,1248
1382701234,0,482,0,0,799,0,0,707,449,0,1248
1382701247,0,484,0,0,799,0,0,707,449,0,1248
1382701281,0,488,0,0,799,0,0,708,449,0,1248
1382701285,0,489,0,0,799,0,0,708,449,0,1248
1382701293,0,489,0,0,800,0,0,708,449,0,1249
1382701491,0,499,0,0,808,0,0,712,449,0,1257
1382701495,0,499,0,0,808,0,0,712,449,0,1257
1382701519,0,499,0,0,810,0,0,712,449,0,1257
1382701522,0,499,0,0,810,0,0,712,449,0,1257
1382701524,0,499,0,0,810,0,0,712,449,0,1257
1382701527,0,499,0,0,810,0,0,712,449,0,1257
1382701616,0,502,0,0,811,0,0,715,449,0,1260
1382701687,0,507,0,0,813,0,0,717,449,0,1265
1382701887,0,519,0,0,821,0,0,723,449,0,1275
1382702228,0,538,0,0,830,0,0,733,449,0,1287
1382702266,0,538,0,0,830,0,1,733,449,0,1288
1382702292,0,538,0,0,830,0,2,733,449,0,1289
1382702307,0,538,0,0,831,0,2,733,449,0,1289
1382702336,0,538,0,0,831,0,2,733,449,0,1291
1382702648,0,550,0,0,837,0,9,733,449,0,1304
1382702663,0,550,0,0,838,0,9,733,449,0,1305
1382702671,0,551,0,0,838,0,9,733,449,0,1305
1382702675,0,551,0,0,838,0,9,733,449,0,1305
1382702701,0,552,0,0,839,0,9,733,449,0,1306
1382702795,0,556,0,0,844,0,10,733,449,0,1310
1382702907,0,558,0,0,850,0,13,733,449,0,1315
1382703694,0,579,0,0,866,0,22,733,449,0,1324
1382703724,0,580,0,0,867,0,22,733,449,0,1325
