1 87491
2 74647
3 74096
4 67260
5 60951
6 53572
7 47111
8 42303
9 37674
10 37048
11 30690
12 28776
13 26215
14 24666
15 23792
16 22604
17 21929
18 22084
19 21765
20 22036
21 21718
22 21755
23 21776
24 22153
25 22328
26 21480
27 21458
28 21139
29 20651
30 20523
31 19530
32 18939
33 17820
34 16978
35 16112
36 15191
37 14123
38 12850
39 11729
40 11008
41 9724
42 8731
43 7758
44 6995
45 6298
46 5498
47 4768
48 4158
49 3792
50 3418
51 2828
52 2356
53 2119
54 1927
55 1607
56 1408
57 1274
58 1031
59 1010
60 921
61 811
62 678
63 599
64 559
65 486
66 432
67 390
68 366
69 341
70 296
71 255
72 234
73 199
74 197
75 173
76 144
77 114
78 82
79 95
80 103
81 72
82 68
83 51
84 53
85 32
86 28
87 26
88 19
89 29
90 26
91 17
92 7
93 9
94 6
95 12
96 7
97 9
98 8
99 8
100 45

